FeatureID,Name,Formula,calc_mw,mz,rt,annot_source,Annot. Source: mzVault Search
Feature1756,Hypoxanthine,C5 H4 N4 O,136.03841,137.04569,6.873,mzCloud,No results
Feature1755,NA,C18 H24 O,256.18256,257.18984,17.382,NA,No results
Feature1754,NA,C26 H55 O11 P3,636.29768,637.30502,21.04,NA,No results
Feature1753,"7-(tert-butyl)-4-imino-1,2,3,4,5,6-hexahydropyrido[3,4-d]pyridazine-1,5-dione",C11 H14 N4 O2,234.11149,235.11876,4.149,mzCloud,No results
Feature1752,NA,C7 H5 N O3 S2,214.97086,215.97813,10.478,NA,No results
Feature1751,NA,C8 H Cl P2 S3,289.8397,290.84698,1.123,NA,No results
Feature1750,NA,C10 H7 N10 P,298.05881,299.06609,14.499,NA,No results
Feature1749,NA,C7 H9 N O4,171.05306,172.06037,2.44,NA,No results
Feature1748,NA,C18 H27 N O5 S2,401.13152,402.13879,15.887,NA,No results
Feature1747,NA,C10 H13 N2 O2 P S,256.0424,257.04967,3.374,NA,No results
Feature1746,NA,C18 H33 N O,279.25598,280.26326,19.359,NA,No results
Feature1745,NA,C6 H10 N2 O2,142.0741,143.08138,1.555,NA,No results
Feature1744,NA,C6 H8 O7,192.02686,193.03414,3.033,NA,No results
Feature1743,NA,C5 H8 O3,116.0472,117.05448,1.559,NA,No results
Feature1742,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18 H32 O5,328.2248,329.23212,18.099,mzCloud,No results
Feature1741,NA,C12 H31 N4 O2 P,294.21931,295.22659,20.027,NA,No results
Feature1740,NA,C13 H26 N O9 P,371.13427,372.14155,6.379,NA,No results
Feature1739,3-Chloro-N-[1-(2-furyl)ethyl]-N-pyridin-2-yl-1-benzothiophene-2-carboxamide,C20 H15 Cl N2 O2 S,404.04306,405.05033,1.202,mzCloud,No results
Feature1738,NA,C5 H11 N4 O8 P,286.03045,287.03771,1.139,NA,No results
Feature1737,"3-(2,3-dihydro-1-benzofuran-5-yl)-1-isopropyldihydro-2,4(1H,3H)-pyrimidinedione",C15 H18 N2 O3,274.1349,275.14218,10.807,mzCloud,No results
Feature1736,NA,C10 H18 N2 O4,230.12647,231.13375,7.765,NA,No results
Feature1735,NA,C7 H9 N2 O16 P3 S5,629.77652,630.7838,1.122,NA,No results
Feature1734,NA,C18 H30 O3,294.2192,295.22648,17.035,NA,No results
Feature1733,NA,C12 H24 N O12 P,405.1032,406.11048,1.255,NA,No results
Feature1732,NA,C22 H34 N6 O8,510.24352,511.2508,7.112,NA,No results
Feature1731,NA,C21 H29 N5 O,367.23572,368.243,16.048,NA,No results
Feature1730,NA,C18 H31 N O,277.24037,278.24765,20.751,NA,No results
Feature1729,Uracil,C4 H4 N2 O2,112.02717,113.03445,2.431,mzCloud,No results
Feature1728,NA,C10 H19 N O8,281.11084,282.11812,1.384,NA,No results
Feature1727,NA,C18 H5 N6 O12 P3 S5,749.77729,750.78457,1.12,NA,No results
Feature1726,NA,C11 H20 N2 O5,260.13705,261.14432,3.405,NA,No results
Feature1725,NA,C30 H29 N5 S4,587.13216,588.13944,17.385,NA,No results
Feature1724,NA,C6 H9 N O2,127.06322,145.09705,1.055,NA,No results
Feature1723,NA,C14 H31 N,213.24543,214.2527,17.023,NA,No results
Feature1722,NA,NA,192.06064,193.06792,5.876,NA,No results
Feature1721,NA,C4 H3 N9,177.05126,178.05855,1.124,NA,No results
Feature1720,NA,C11 H25 N8 P,300.19355,301.20082,16.85,NA,No results
Feature1719,NA,C4 H5 N O,83.03705,84.04434,1.231,NA,No results
Feature1718,NA,C18 H24 O,256.18258,257.18985,17.748,NA,No results
Feature1717,NA,C7 H2 N2 O18 S5,561.78923,562.79651,1.123,NA,No results
Feature1716,NA,C23 H5 N2 O18 P3 S4,817.76464,818.77192,1.115,NA,No results
Feature1715,NA,C11 H14 N2 O6,270.08501,271.09229,6.901,NA,No results
Feature1714,NA,C12 H23 N O4,245.16248,246.16976,9.192,NA,No results
Feature1713,NA,C7 H12 N2 O3,172.0846,173.09191,1.555,NA,No results
Feature1712,NA,C8 H6 N8,214.07176,215.07904,1.119,NA,No results
Feature1711,NA,NA,205.87837,206.88565,1.122,NA,No results
Feature1710,NA,C11 H28 N6 O S,292.20366,293.21093,17.381,NA,No results
Feature1709,4-Fluoro IPV,C14 H20 F N O,237.15744,238.16471,7.243,mzCloud,No results
Feature1708,NA,C10 H14 N2 O6,258.0849,259.09218,1.556,NA,No results
Feature1707,NA,C6 H9 N O4 S,191.02513,192.03241,1.835,NA,No results
Feature1706,NA,C12 H31 N4 P,262.22952,280.26336,20.149,NA,No results
Feature1705,NA,C19 H29 N O4,335.20958,336.21685,16.682,NA,No results
Feature1704,NA,C4 H6 O2 S,118.0087,119.01597,1.561,NA,No results
Feature1703,NA,C10 H14 N5 O8 P,363.05787,364.06514,3.138,NA,No results
Feature1702,NA,C12 H20 O4,228.13598,229.14326,14.304,NA,No results
Feature1701,NA,C15 H34 N9 O P,387.26189,388.26917,17.847,NA,No results
Feature1700,NA,C12 H27 N O6,281.18365,282.19093,8.05,NA,No results
Feature1699,"7-{[(1S,4aS,6S,8aR)-6-hydroxy-5,5,8a-trimethyl-2-methylidene-decahydronaphthalen-1-yl]methoxy}-2H-chromen-2-one",C24 H30 O4,404.20169,405.20897,3.78,mzCloud,No results
Feature1698,NA,C16 H30 N9 P S2,443.17843,444.1857,17.38,NA,No results
Feature1697,NA,C6 H9 N O4 S,191.02512,192.0324,1.78,NA,No results
Feature1696,NA,C11 H21 N3 O5,275.14787,276.15515,1.423,NA,No results
Feature1695,NA,C12 H19 N O4,241.1312,242.13848,12.925,NA,No results
Feature1694,NA,C9 H16 N2 O4,216.11082,217.11809,1.351,NA,No results
Feature1693,NA,C7 H5 N O7,215.00709,216.01437,1.128,NA,No results
Feature1692,NA,C9 H14 N3 O8 P,323.05162,324.0589,1.564,NA,No results
Feature1691,NA,C4 H7 N O2,101.04754,102.05482,1.255,NA,No results
Feature1690,NA,C3 H7 N O S,105.02472,106.032,11.293,NA,No results
Feature1689,NA,C10 H14 N2 O6,258.08501,259.09228,3.402,NA,No results
Feature1688,NA,C11 H17 N O7,275.10031,276.10759,7.386,NA,No results
Feature1687,L-Ergothioneine,C9 H15 N3 O2 S,229.08832,230.09559,1.65,mzCloud,No results
Feature1686,NA,C8 H9 N O4,183.05302,184.06032,3.126,NA,No results
Feature1685,NA,C6 H11 N O5 S,209.03551,210.04279,1.557,NA,No results
Feature1684,NA,C9 H2 Cl N10 O12 P3 S4,697.76385,698.77112,1.122,NA,No results
Feature1683,NA,C20 H33 N O3,335.24588,336.25315,17.557,NA,No results
Feature1682,NA,C4 H6 N6 O6,234.03417,235.04145,1.225,NA,No results
Feature1681,NA,C4 H16 N4 O8 P2 S,342.01788,343.02516,1.085,NA,No results
Feature1680,L-Glutathione (reduced),C10 H17 N3 O6 S,307.08345,308.09073,5.587,mzCloud,No results
Feature1679,NA,NA,100.00101,101.00828,0.977,NA,No results
Feature1678,NA,C17 H18 N8 O6,430.13324,431.14051,6.791,NA,No results
Feature1677,NA,C6 H14 N O8 P,259.04538,260.05265,1.244,NA,No results
Feature1676,NA,C13 H23 N O2,225.17264,226.17993,16.193,NA,No results
Feature1675,NA,C8 H11 N3 O3,197.07987,198.08714,1.56,NA,No results
Feature1674,NA,C8 H15 N3 S,185.0985,186.10578,1.546,NA,No results
Feature1673,NA,C9 H15 N O3,185.10511,186.11239,12.01,NA,No results
Feature1672,"7-(tert-butyl)-4-imino-1,2,3,4,5,6-hexahydropyrido[3,4-d]pyridazine-1,5-dione",C11 H14 N4 O2,234.11148,235.11876,4.597,mzCloud,No results
Feature1671,NA,C9 H12 N2 O6,244.06932,262.10314,1.389,NA,No results
Feature1670,NA,C8 H15 N3 O5,233.10094,234.10821,1.543,NA,No results
Feature1669,NA,C11 H19 N O2,197.14141,198.14869,13.894,NA,No results
Feature1668,NA,C3 H2 Cl N6 O5 P3 S3,425.81441,426.82168,1.123,NA,No results
Feature1667,NA,C19 H31 N O3,321.23022,322.23749,17.094,NA,No results
Feature1666,NA,C13 H20 N4 O7 S2,408.0757,409.08297,6.533,NA,No results
Feature1665,NA,C6 H12 N2 O3,160.08465,161.09193,1.412,NA,No results
Feature1664,NA,C7 H8 O2,124.05227,142.0861,8.384,NA,No results
Feature1663,NA,C6 H7 N O3 S,173.01456,191.04839,2.113,NA,No results
Feature1662,NA,C8 H11 N O4,185.06863,186.07593,1.547,NA,No results
Feature1661,NA,C21 H47 N9 O4 S,521.34784,522.35511,21.064,NA,No results
Feature1660,NA,C7 H14 N2 O6,222.08499,223.09227,1.358,NA,No results
Feature1659,NA,C14 H16 N2 O3,260.11595,261.12322,11.187,NA,No results
Feature1658,NA,C5 H11 N O4 S,181.04073,182.04801,1.362,NA,No results
Feature1657,"1-(2-Morpholinophenyl)dihydro-1H-pyrrole-2,5-dione",C14 H16 N2 O3,260.11927,261.12655,9.353,mzCloud,No results
Feature1656,NA,C24 H39 N10 O P3,576.25407,577.26135,9.318,NA,No results
Feature1655,NA,C9 H24 N8 O8 S4,500.0583,501.06558,1.212,NA,No results
Feature1654,NA,C16 H27 N6 O3 P3 S2,508.08111,509.08839,1.213,NA,No results
Feature1653,NA,C24 H5 N6 O18 P3 S3,853.8038,854.81108,1.111,NA,No results
Feature1652,7-Methylguanosine,C11 H15 N5 O5,297.10708,298.11435,7.396,mzCloud,No results
Feature1651,NA,NA,206.19921,207.20649,1.192,NA,No results
Feature1650,2'-O-Methyladenosine,C11 H15 N5 O4,281.11216,282.11943,7.405,mzCloud,No results
Feature1649,NA,C7 H5 N O2,135.03194,136.03921,8.615,NA,No results
Feature1648,NA,C6 H11 N3 O3,173.07994,174.08722,1.821,NA,No results
Feature1647,NA,C3 H7 N2 P3 S,195.95364,196.96092,1.235,NA,No results
Feature1646,NA,C9 H13 N O6,231.0741,232.08138,2.182,NA,No results
Feature1645,NA,C20 H5 N2 O15 P3 S5,765.75104,766.75832,1.121,NA,No results
Feature1644,NA,C20 H35 N O5,369.25132,370.2586,15.45,NA,No results
Feature1643,NA,C8 H16 O6,208.0945,209.10178,8.191,NA,No results
Feature1642,NA,C19 H29 N O5 S2,415.14725,416.15452,16.683,NA,No results
Feature1641,NA,C9 H12 N4 O15 S,448.00305,449.01033,1.08,NA,No results
Feature1640,NA,C6 H13 N O3,147.08946,148.09674,2.169,NA,No results
Feature1639,NA,C14 H13 N O3 S,275.06141,276.06869,8.788,NA,No results
Feature1638,NA,C8 H11 N O4,185.06866,186.07594,1.494,NA,No results
Feature1637,[Similar to: ERH; ΔMass: -137.0591 Da],C11 H21 N5 O5,303.15405,304.16132,1.439,NA,No results
Feature1636,NA,C10 H17 N3 O4,243.12178,244.12906,3.038,NA,No results
Feature1635,"3-[(4-hydroxyphenyl)methyl]-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C14 H16 N2 O3,260.11587,261.12315,9.533,mzCloud,No results
Feature1634,NA,C7 H13 N8 O P S,288.06778,289.07506,14.471,NA,No results
Feature1633,NA,C6 H8 O4,144.04213,145.04941,1.298,NA,No results
Feature1632,NA,C7 H15 N O4,177.09994,178.10722,1.459,NA,No results
Feature1631,NA,C9 H11 N3 O4,225.07482,226.0821,2.794,NA,No results
Feature1630,NA,C23 H5 N2 O17 P3 S5,833.73838,834.74566,1.12,NA,No results
Feature1629,NA,C18 H17 N2 O11 P3,530.00612,531.0134,1.082,NA,No results
Feature1628,NA,C5 H14 N2 O5 S,214.06211,215.06939,1.221,NA,No results
Feature1627,NA,C5 H4 O,80.02616,81.03344,1.206,NA,No results
Feature1626,NA,C18 H33 N O,279.25599,280.26326,20.203,NA,No results
Feature1625,NA,C10 H22 N6 O6,322.15913,345.14835,1.07,NA,No results
Feature1624,NA,C5 H10 N6 O6 S2,314.01151,315.01879,2.38,NA,No results
Feature1623,NA,C11 H20 N2 O5,260.13704,261.14431,9.691,NA,No results
Feature1622,NA,C13 H19 N3 O11,393.10323,394.11051,1.254,NA,No results
Feature1621,NA,C20 H31 N O5,365.22003,366.2273,15.214,NA,No results
Feature1620,NA,C8 H13 N O4,187.08424,188.09152,15.065,NA,No results
Feature1619,NA,C9 H9 N5 O4,251.06522,252.07249,8.589,NA,No results
Feature1618,NA,C21 H31 N5 O,369.25131,370.25858,17.846,NA,No results
Feature1617,NA,C9 H16 N2 O5 S,264.07785,265.08512,5.943,NA,No results
Feature1616,NA,C6 H11 N8 P S,258.05658,259.06385,1.075,NA,No results
Feature1615,NA,C4 H8 N4 O4,176.05364,177.06091,1.073,NA,No results
Feature1614,NA,C8 H15 N7 O2 S2,305.07403,306.08131,7.303,NA,No results
Feature1613,NA,C14 H17 N2 O8 P S,404.04301,405.05029,1.301,NA,No results
Feature1612,NA,C24 H41 N4 O4 P3,542.23349,543.24077,6.96,NA,No results
Feature1611,NA,C16 H24 O2,248.17743,249.1847,17.374,NA,No results
Feature1610,NP-013736,C10 H16 N2 O2,196.12099,197.12826,10.071,mzCloud,No results
Feature1609,NA,NA,921.79131,922.79859,1.11,NA,No results
Feature1608,NA,NA,570.14141,571.14869,17.378,NA,No results
Feature1607,Valpromide,C8 H17 N O,143.13092,144.1382,15.689,mzCloud,No results
Feature1606,NA,C15 H31 N3 O4,317.23282,318.2401,21.037,NA,No results
Feature1605,[Similar to: N-Acetylneuraminic acid; ΔMass: -36.0213 Da],C11 H15 N O7,273.0847,274.09197,2.062,NA,No results
Feature1604,NA,C27 H22 N4 O4 S2,530.11067,531.11795,18.152,NA,No results
Feature1603,NA,C12 H21 N3 O7 S,351.10976,352.11704,1.399,NA,No results
Feature1602,NA,C10 H13 N4 O8 P,348.04694,349.05422,3.121,NA,No results
Feature1601,NA,C5 H10 N4 O4,190.07004,191.07732,1.534,NA,No results
Feature1600,L-Pyroglutamic acid,C5 H7 N O3,129.04251,130.04979,2.44,mzCloud,No results
Feature1599,NA,C14 H24 N4 O5,328.17455,329.18182,7.211,NA,No results
Feature1598,NA,NA,81.01899,82.02627,1.106,NA,No results
Feature1597,NA,C16 H37 N3 P2 S,365.21998,366.22725,17.21,NA,No results
Feature1596,"2-{(3S)-1-[4-(Trifluoromethyl)benzyl]-3-pyrrolidinyl}-1,3-benzoxazole",C19 H17 F3 N2 O,346.13496,347.14226,1.067,mzCloud,No results
Feature1595,NA,C20 H33 N O6 S2,447.17345,448.18071,16.683,NA,No results
Feature1594,NA,C8 H14 N2 O,154.1105,155.11778,10.34,NA,No results
Feature1593,Acetophenone,C8 H8 O,120.05738,121.06466,4.487,mzCloud,No results
Feature1592,NA,C18 H24 N9 O P S,445.15757,446.16484,16.148,NA,No results
Feature1591,NA,C10 H17 N3 O5,259.11667,260.12395,1.753,NA,No results
Feature1590,NA,C12 H31 N4 O2 P,294.21923,295.2265,17.969,NA,No results
Feature1589,NA,C5 H19 N8 O12 P S,446.06001,447.06728,1.43,NA,No results
Feature1588,NA,C14 H16 N2 O2,244.12094,245.12821,12.312,NA,No results
Feature1587,UDP-N-acetylglucosamine,C17 H27 N3 O17 P2,607.0813,608.08858,1.748,mzCloud,No results
Feature1586,Benzoguanamine,C9 H9 N5,187.08436,188.09164,2.91,mzCloud,No results
Feature1585,NA,C12 H27 N4 O2 P,290.18801,291.19528,17.733,NA,No results
Feature1584,NA,C12 H23 N6 O7 P,394.13463,395.14191,2.318,NA,No results
Feature1583,NA,C10 H18 N2 O5 S,278.09347,279.10075,7.164,NA,No results
Feature1582,NA,C8 H9 N O3,167.05817,168.06545,8.615,NA,No results
Feature1581,NA,C6 H10 N2 O10 S,302.00442,303.01168,1.14,NA,No results
Feature1580,NA,C7 H15 N3 O3,189.11113,190.11841,1.542,NA,No results
Feature1579,NA,C7 H10 N8 O7 P2,380.01574,381.02301,1.079,NA,No results
Feature1578,NA,C14 H36 N5 O3 P,353.25646,354.26373,17.553,NA,No results
Feature1577,NA,NA,175.10859,176.11587,1.136,NA,No results
Feature1576,NA,C19 H29 N5 O2,359.23059,360.23786,16.404,NA,No results
Feature1575,NA,C10 H19 N O2,185.14145,186.14873,12.594,NA,No results
Feature1574,NA,C8 H15 N O7,237.08463,238.09191,1.237,NA,No results
Feature1573,NA,C10 H10 N10 O2,302.09861,303.10588,2.326,NA,No results
Feature1572,NA,C9 H17 N O8,267.09512,268.1024,1.256,NA,No results
Feature1571,NA,C20 H29 N O4,347.20944,348.21672,16.911,NA,No results
Feature1570,NA,C14 H30 O10,358.18502,359.1923,8.003,NA,No results
Feature1569,NA,C2 H5 N O S,91.0091,92.01638,1.235,NA,No results
Feature1568,NA,C9 H14 O3,170.09418,188.12798,9.151,NA,No results
Feature1567,NA,C20 H31 N O5 S2,429.16273,430.17001,17.296,NA,No results
Feature1566,NA,C7 H11 N O5,189.06358,190.07086,6.109,NA,No results
Feature1565,NA,C5 H10 N2 O4,162.06392,163.07121,1.178,NA,No results
Feature1564,NA,C20 H33 N O3,335.24593,336.25321,16.943,NA,No results
Feature1563,NA,C9 H16 N2 O8 P2,342.03887,343.04615,1.076,NA,No results
Feature1562,Argininosuccinic acid,C10 H18 N4 O6,290.12233,291.1296,1.301,mzCloud,No results
Feature1561,NA,C3 H7 O7 P,185.99275,187.00003,1.315,NA,No results
Feature1560,NA,C10 H15 N O5,229.09479,247.12861,7.257,NA,No results
Feature1559,NA,C3 H5 N2 P S,131.9908,132.99808,0.977,NA,No results
Feature1558,NA,C10 H16 O3,184.10975,185.11702,10.738,NA,No results
Feature1557,NA,C6 H18 N9 O4 P S2,375.06553,376.07281,6.299,NA,No results
Feature1556,NA,C7 H5 N O3,151.02683,152.03411,2.976,NA,No results
Feature1555,NA,C10 H22 N2 O5,250.15269,251.15997,0.989,NA,No results
Feature1554,NA,C20 H33 N O6 S2,447.17334,448.18062,15.752,NA,No results
Feature1553,NA,C10 H12 N4 O6,284.07548,285.08276,7.208,NA,No results
Feature1552,NA,C12 H15 N5 O6,325.10069,326.10796,1.344,NA,No results
Feature1551,NA,C15 H27 N5 O3,325.20987,326.21715,8.707,NA,No results
Feature1550,NA,C11 H15 N5 O5,297.10712,298.1144,7.567,NA,No results
Feature1549,NA,C20 H31 N O5 S2,429.1627,430.16998,16.047,NA,No results
Feature1548,Guanine,C5 H5 N5 O,151.04932,152.05659,6.827,mzCloud,No results
Feature1547,NA,C8 H17 N O8,255.09517,256.10245,1.194,NA,No results
Feature1546,NA,C5 H9 N O4 S,179.0251,180.03238,2.182,NA,No results
Feature1545,NA,C17 H19 N4 O16 P,566.05465,584.08848,1.528,NA,No results
Feature1544,NA,C10 H16 N2 O3 S,244.08792,245.0952,6.975,NA,No results
Feature1543,NA,C19 H27 N5 O,341.22006,342.22733,16.407,NA,No results
Feature1542,NA,C6 H10 O5,162.05274,163.06002,1.685,NA,No results
Feature1541,NA,C11 H16 N4 O4,268.11693,269.12421,1.442,NA,No results
Feature1540,NA,C12 H32 N7 O12 P S4,625.07289,626.08016,1.212,NA,No results
Feature1539,NA,C7 H19 N2 O10 P S,354.0502,355.05748,1.13,NA,No results
Feature1538,NA,C8 H14 O4,174.08902,175.09629,12.06,NA,No results
Feature1537,NA,C11 H15 N O7,273.08464,291.11847,1.357,NA,No results
Feature1536,NA,C24 H36 O2,356.27139,357.27867,19.129,NA,No results
Feature1535,NA,C8 H8 O4,168.04208,186.0759,1.547,NA,No results
Feature1534,NA,C8 H21 N2 O14 P3,462.01872,463.026,1.08,NA,No results
Feature1533,NA,C6 H10 N2 O3 S,190.0411,191.04838,2.112,NA,No results
Feature1532,NA,C6 H13 N O4,163.08432,164.0916,1.168,NA,No results
Feature1531,NA,C21 H27 N5 O,365.2201,366.22737,16.529,NA,No results
Feature1530,NA,C16 H28 N2 O11,424.16898,425.17625,1.458,NA,No results
Feature1529,NA,C12 H9 N8 O18 P,583.97784,584.98512,1.081,NA,No results
Feature1528,NA,C4 H8 N8 O,184.08222,185.08954,1.066,NA,No results
Feature1527,NA,C7 H3 N2 O14 P3 S,463.85152,464.8588,1.12,NA,No results
Feature1526,[Similar to: NP-001798; ΔMass: -151.0998 Da],C7 H4 O,104.02609,105.03337,10.012,NA,No results
Feature1525,NA,C7 H13 N O3,159.08943,160.09671,1.537,NA,No results
Feature1524,δ-Valerolactam,C5 H9 N O,82.04178,100.07561,1.666,mzCloud,No results
Feature1523,NA,C7 H13 N O3,159.08941,160.09669,7.887,NA,No results
Feature1522,NA,C4 H7 N,69.05783,70.06511,1.057,NA,No results
Feature1521,NA,C12 H23 N O3,229.16761,230.17489,14.585,NA,No results
Feature1520,NA,C7 H11 N O4,173.06867,191.1025,1.377,NA,No results
Feature1519,NA,C21 H43 O7 P3,500.22282,501.2301,6.421,NA,No results
Feature1518,NA,C8 H11 N O4,185.06869,186.07597,1.748,NA,No results
Feature1517,NA,C11 H18 N2 O7,290.11114,291.11842,1.356,NA,No results
Feature1516,NA,C6 H13 N O4,163.08433,164.09161,1.35,NA,No results
Feature1515,NA,C8 H8 N2 O3,180.05328,198.0871,1.56,NA,No results
Feature1514,4-chloro-N-[4-chloro-2-(trifluoromethoxy)phenyl]benzamide,C14 H8 Cl2 F3 N O2,348.99441,350.00169,1.208,mzCloud,No results
Feature1513,NA,C11 H21 N O7,279.13164,280.13891,2.669,NA,No results
Feature1512,NA,C9 H18 N6 O3 S2,322.08932,323.0966,14.306,NA,No results
Feature1511,NA,C15 H34 N2 O S4,386.15707,387.16434,17.751,NA,No results
Feature1510,NA,C9 H21 N3 O,187.16834,188.17561,1.124,NA,No results
Feature1509,NA,C6 H16 N6 O S,220.11163,221.1189,3.377,NA,No results
Feature1508,NA,C15 H27 N7 O5,385.20707,386.21435,1.563,NA,No results
Feature1507,NA,C10 H18 N2 O6,262.11619,263.12347,1.459,NA,No results
Feature1506,NA,C5 H7 N7 O2 S2,261.01147,262.01874,8.621,NA,No results
Feature1505,NA,C11 H17 N O3,211.12069,212.12797,11.277,NA,No results
Feature1504,NA,C9 H15 N O4,201.09987,219.1337,1.363,NA,No results
Feature1503,NA,C5 H17 N4 O2 P S,228.08044,229.08774,1.546,NA,No results
Feature1502,NA,C10 H15 N O4 S,245.07196,246.07924,1.264,NA,No results
Feature1501,NA,C11 H14 N10 O6,382.10846,383.11573,1.201,NA,No results
Feature1500,NA,C17 H31 N5 O6,401.22588,402.23315,11.037,NA,No results
Feature1499,NA,C9 H13 N O5,215.07925,216.08653,1.985,NA,No results
Feature1498,NA,C11 H20 N2 O6,276.132,277.13927,1.86,NA,No results
Feature1497,NA,C7 H14 N6 O3 S2,294.05812,295.06539,12.061,NA,No results
Feature1496,NA,C12 H28 N8 O4,348.22311,349.23039,1.136,NA,No results
Feature1495,NP-022231,C6 H13 N O4,185.06873,186.07601,3.152,mzCloud,No results
Feature1494,NA,C17 H39 O P3,352.22078,353.22806,1.176,NA,No results
Feature1493,NA,C11 H21 N O6 S,295.10869,296.11597,1.368,NA,No results
Feature1492,NA,C7 H14 N2 O4,190.09519,191.10247,1.378,NA,No results
Feature1491,NA,C7 H13 N O3,159.08938,160.09667,8.383,NA,No results
Feature1490,NA,C19 H29 N3 O8,427.19678,428.20406,11.943,NA,No results
Feature1489,NA,C20 H26 O2,298.19305,299.20033,18.746,NA,No results
Feature1488,NA,C11 H18 O,166.13564,184.16942,15.695,NA,No results
Feature1487,NA,C10 H14 N2 O6,258.08493,259.0922,6.953,NA,No results
Feature1486,NA,C9 H18 N2 O3,202.13156,203.13883,1.46,NA,No results
Feature1485,NA,C12 H27 N7 O9 S,445.15765,446.16493,17.382,NA,No results
Feature1484,Panthenol,C9 H19 N O4,205.13124,206.13852,8.328,mzCloud,No results
Feature1483,NA,C8 H13 N O2,155.09454,156.10182,10.177,NA,No results
Feature1482,NA,C6 H11 N O7,209.05342,210.06069,3.039,NA,No results
Feature1481,NA,C7 H14 N2 O3,174.10032,175.1076,1.356,NA,No results
Feature1480,Cyclopropyl[(3S)-3-(5-methyl-1H-benzimidazol-2-yl)-1-pyrrolidinyl]methanone,C16 H19 N3 O,269.14865,270.15593,4.814,mzCloud,No results
Feature1479,NA,C9 H12 N2 O5,228.07438,246.1082,1.564,NA,No results
Feature1478,NA,C21 H29 N5,351.24071,352.24799,16.12,NA,No results
Feature1477,NA,C8 H13 N O6,219.07407,220.08135,1.351,NA,No results
Feature1476,NA,C10 H19 N O4,217.13119,218.13847,11.05,NA,No results
Feature1475,NA,C15 H24 N10,344.21967,345.2269,17.037,NA,No results
Feature1474,NA,C20 H36 N O3 P S2,433.18791,434.19519,13.471,NA,No results
Feature1473,NA,C6 H14 O6,182.07884,183.08612,1.305,NA,No results
Feature1472,NA,C9 H19 N O2,173.14142,174.1487,12.132,NA,No results
Feature1471,NA,C7 H15 N O6,209.08972,210.097,1.251,NA,No results
Feature1470,NA,C8 H17 N O8 S,287.06716,288.07444,1.267,NA,No results
Feature1469,NA,C8 H15 N O2,157.1102,158.11747,2.474,NA,No results
Feature1468,NA,C9 H3 O10 P3 S,395.86436,396.87164,1.115,NA,No results
Feature1467,NA,C27 H54 N O6 P3,581.3171,582.32438,10.045,NA,No results
Feature1466,NA,C8 H15 N3 O5 S2,297.04506,298.05234,1.534,NA,No results
Feature1465,NA,C H3 N2 O10 P,233.95372,234.961,0.977,NA,No results
Feature1464,NA,C9 H15 N O2,169.11023,170.1175,14.112,NA,No results
Feature1463,NA,C13 H24 N2 O3 S,288.15054,289.15782,12.217,NA,No results
Feature1462,NA,C21 H47 N2 O15 P,598.27079,599.27806,6.837,NA,No results
Feature1461,NA,C7 H8 N2 O3,168.05342,169.06069,2.972,NA,No results
Feature1460,NA,C4 H9 Cl N2 O5 S,231.99182,232.99909,0.977,NA,No results
Feature1459,Cytosine,C4 H5 N3 O,111.04316,112.05044,2.917,mzCloud,No results
Feature1458,NA,C18 H24 N9 P S,429.1627,430.16998,16.772,NA,No results
Feature1457,NA,C16 H26 N O7 P S,407.11687,408.12415,1.471,NA,No results
Feature1456,NA,C14 H30 N O11 P,419.15531,420.16259,1.37,NA,No results
Feature1455,NA,C18 H31 N O3,309.23024,310.23751,17.285,NA,No results
Feature1454,NA,C4 H15 N7 O3 P2,271.07232,272.0796,1.321,NA,No results
Feature1453,NA,C20 H33 N O4,351.24082,352.2481,16.796,NA,No results
Feature1452,NA,C H3 N2 O2 P,105.99347,107.00072,0.977,NA,No results
Feature1451,NA,C38 H5 O16 P3 S4,937.76569,938.77297,1.112,NA,No results
Feature1450,NA,C9 H15 N O7,249.08461,250.09189,1.256,NA,No results
Feature1449,NA,C6 H21 N7 O2 S,255.14872,256.15599,3.378,NA,No results
Feature1448,NA,C11 H15 N O8,289.07953,290.0868,1.344,NA,No results
Feature1447,NA,C9 H17 N O3,187.1207,188.12798,10.176,NA,No results
Feature1446,NA,C3 H5 N S,87.01422,88.0215,1.541,NA,No results
Feature1445,Desaminometribuzin,C8 H13 N3 O S,199.08187,200.08915,9.796,mzCloud,No results
Feature1444,NA,C33 H5 N2 O17 P3 S5,953.73956,954.74684,1.115,NA,No results
Feature1443,NA,C7 H5 N O3,151.02686,152.03414,8.623,NA,No results
Feature1442,NA,C6 H11 N O,113.08396,131.11779,1.708,NA,No results
Feature1441,NA,C10 H18 N2 O7,278.11116,279.11844,1.381,NA,No results
Feature1440,NA,C12 H23 N O5,261.15743,262.16471,6.473,NA,No results
Feature1439,NA,C11 H21 N O7,279.13162,280.13889,2.065,NA,No results
Feature1438,NA,C8 H13 N O5,203.07918,204.08646,1.593,NA,No results
Feature1437,NA,C18 H28 O3,292.20365,293.21092,16.883,NA,No results
Feature1436,NA,C6 H12 O7,196.05811,197.0654,1.337,NA,No results
Feature1435,NA,C7 H10 O7,206.0431,207.05038,1.086,NA,No results
Feature1434,NA,C8 H23 N7 O2 S,281.16248,282.16976,14.671,NA,No results
